,dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff
280,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7331055857210536,0.8363736871199557,0.5249350742376644,0.1032681013989021,0.1644922241937167,0.1426526294452257
281,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.6745388061116012,0.8312880044223327,0.5374832401767815,0.1280192892461671,0.2047083498901543,0.1567491983107315
282,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3485129122183359,0.8943916038045261,0.4253931476536529,0.0478718032591791,0.0768802354353169,0.0496758631086989
283,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.435866539565073,0.9037389307969826,0.4394583230967448,0.0035917835316718,0.0338880809820536,0.0029239766081871
284,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2999928164087885,0.8953755329616268,0.3977561641721363,0.0654237987348419,0.0741013717579478,0.0977633477633477
285,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8201264579206765,0.8981633322400787,0.4545672435359558,0.0979503715710083,0.0780368743194021,0.1523706429963195
286,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.8481125382943703,0.8973433912758282,0.4311432307479906,0.0492308529814578,0.0855643123409921,0.0860877684407095
287,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8694230014802143,0.8938996392259757,0.4074592173908577,0.013954755487808,0.0312981636439753,0.0244766377457613
288,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1201293609040156,0.586709886547812,0.1637058647214832,0.033203924906511,0.0435765038174675,0.0294448128499852
289,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.2668312544211682,0.6547811993517018,0.3154139471028525,0.0485826926816843,0.084226700445037,0.0594842259430787
290,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.1949681074749032,0.6588330632090762,0.3138809715239541,0.1883248138291489,0.2212465195973442,0.1189128640490508
291,compas_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.5576859937463157,0.5632090761750406,0.1289950236460054,0.0208149109423406,0.0055230824287249,0.0185605238762105
292,compas_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.5471035876743569,0.5648298217179902,0.0007864665982337,0.0177262340436333,0.0006674506563264,0.0134366793299508
293,compas_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.5491515167117871,0.6499189627228525,0.2799786620043438,0.1273292710307723,0.1489572287027218,0.1007674460110654
294,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3750554368384703,0.834383637368712,0.5095721541137214,0.0773478537556437,0.134516717275251,0.1047426347705677
295,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.4360249490979564,0.8403537866224433,0.5247422343364754,0.0887172852385189,0.1476992856829834,0.1188615061701588
296,adult_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.4174270496503226,0.8308457711442786,0.5171405981701217,0.0819427253499424,0.1577268420243834,0.099713548519799
297,adult_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.756440022111664,0.756440022111664,0.0,0.0,0.0,0.0
298,adult_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.7584975051342129,0.7710337202874517,0.2300349695979842,0.0125362151532387,0.0200000736601634,0.0234557292527349
299,adult_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.7418088294527849,0.7637368711995578,0.197886689397161,0.0109739294022117,0.0143714279761946,0.0219280417467728
300,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.3669180425182036,0.9012791079042308,0.4289906597219627,0.0206028888235645,0.0620726172037591,0.008853065539112
301,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.365546736710182,0.8934076746474254,0.4573942445637816,0.0918475078535996,0.116440664048453,0.1387096774193548
302,bank_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.2734223685511421,0.891439816333224,0.4238494381963457,0.0826386140978843,0.0789295070254822,0.1504270696452036
303,bank_dataset_reader,gerry_fair_classifier_initializer,acc_parity,0.8292856713260293,0.9001311905542801,0.4272632548249445,0.036280274048642,0.0708455192282509,0.0449289405684754
304,bank_dataset_reader,gerry_fair_classifier_initializer,acc_odds,0.824845933472979,0.8865201705477206,0.3865628057444705,0.0616742370747416,0.066974611273757,0.1127544867702348
305,bank_dataset_reader,gerry_fair_classifier_initializer,acc_opportunity,0.8528869481637839,0.8978353558543785,0.4308524617333011,0.037845041962404,0.0709423664339134,0.0449484076905946
306,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_parity,0.1087608588396935,0.6239870340356564,0.2951495098305271,0.1599304444353716,0.1863886509908336,0.1926225968597239
307,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_odds,0.2116282824497677,0.6296596434359806,0.281621759467615,0.0699934770178472,0.0837353029846247,0.0280404210365299
308,compas_dataset_reader,gerry_fair_classifier_initializer,mcc_opportunity,0.180388478326531,0.5810372771474879,0.1938797001952714,0.0330181889310861,0.0395192647578649,0.0134912218687404
